变量,回归系数β,标准误,z值,p值,OR,OR下限95CI,OR上限95CI,方向,显著性(p<0.05)
TC（总胆固醇）,1.7041555649004287,0.1561241776552978,10.915385371399593,9.73156948971458e-28,5.496742064944131,4.0477363526104355,7.464461787151918,正向,是
TG（甘油三酯）,4.625777657667097,0.4377251993888643,10.567766407155531,4.2038760299922345e-26,102.08212717241162,43.28698583459477,240.7365744490388,正向,是
HDL-C（高密度脂蛋白）,-2.9116929533495175,0.6226414914740372,-4.676355484207124,2.9201822097827776e-06,0.05438358302200564,0.016049977168685454,0.18427279186924944,负向,是
血尿酸,0.005171287321985472,0.001272093257778448,4.065179412251959,4.7995526489752433e-05,1.005184681506708,1.0026816194782606,1.007693992098405,正向,是
LDL-C（低密度脂蛋白）,1.1166301364043638,0.2969799723006475,3.7599509749901383,0.00016994665797072147,3.054543445368674,1.7066972780252834,5.466836901761621,正向,是
平和质,0.00807200546414664,0.0060961599124814735,1.3241131433609141,0.18546547112235812,1.0081046719357434,0.99613125454498,1.020222008838478,正向,否
血瘀质,-0.014143882915831026,0.01075080616900696,-1.3156113777407523,0.18830451277973104,0.9859556718796504,0.9653977602204284,1.0069513592922488,负向,否
气虚质,0.013601722479610917,0.010444897604738016,1.3022360768228978,0.1928356959608971,1.0136946467388346,0.9931536431741473,1.0346604917470834,正向,否
痰湿质,0.006816895675079292,0.0077142414537083705,0.8836767316639138,0.37687074451356806,1.006840183595435,0.9917316328068196,1.0221789058330404,正向,否
BMI,-0.03209863605620146,0.05178724304132168,-0.6198174332352383,0.5353779898415958,0.9684110571207162,0.8749401742254261,1.071867543839673,负向,否
气郁质,0.006282411484653788,0.010730706709514306,0.5854611121822509,0.558237707370514,1.0063021872231035,0.9853588522082619,1.0276906628895575,正向,否
湿热质,-0.006319631827724542,0.010872335521315234,-0.581257984113431,0.56106659340542,0.993700295046561,0.9727491724236945,1.0151026640457823,负向,否
IADL总分,-0.011418267057969942,0.022300422503620323,-0.5120202119989549,0.6086368639059652,0.9886466739470776,0.9463656219941041,1.0328167287470515,负向,否
空腹血糖,-0.06699272668474365,0.15193953453130354,-0.4409170193353553,0.6592730720102223,0.9352020033310386,0.6943433208315011,1.2596114354308467,负向,否
阴虚质,-0.0039031162809271603,0.010236252849766586,-0.38130323060710264,0.7029782567359797,0.9961044909768685,0.9763190961728785,1.0162908426494521,负向,否
ADL总分,0.0071094570770855675,0.022162574823539984,0.32078660235516754,0.7483721130466671,1.0071347892641664,0.964323565932422,1.0518466203461616,正向,否
阳虚质,0.002778439577880498,0.010432903335803654,0.26631508875822174,0.7899965534368321,1.0027823030184078,0.982485518080546,1.0234983913162,正向,否
特禀质,-0.0019335614690029394,0.010879368572235436,-0.1777273613045395,0.8589370961156223,0.998068306656735,0.977011621380783,1.019578808433031,负向,否
