变量名,系数,标准误,t值,p值,下限95CI,上限95CI
截距,38.011851613942376,8.212590953180076,4.628484704844997,4.173004141517881e-06,21.89576616752318,54.127937060361575
HDL-C（高密度脂蛋白）,0.7586997239780828,2.4958130273032118,0.30398900706030724,0.7612001458790623,-4.13899166667004,5.656391114626206
LDL-C（低密度脂蛋白）,0.762522416217445,1.0737601355107478,0.7101422291625135,0.47778317878653764,-1.3445848525488269,2.869629684983717
TG（甘油三酯）,-0.4301822081076694,0.6386246035615838,-0.6736073206521648,0.5007182256592773,-1.6833955652393495,0.8230311490240108
TC（总胆固醇）,-0.48072280245460575,0.3530832119264768,-1.3615000266699386,0.17366549262139772,-1.1736002689622775,0.21215466405306604
空腹血糖,-0.3489900876466285,0.6381892798678606,-0.5468441709313703,0.5846090261217922,-1.6013491816249517,0.9033690063316946
血尿酸,-5.302021064751156e-05,0.004526210548661568,-0.011714039830336663,0.9906561223002288,-0.008935088776654453,0.008829048355359428
BMI,-0.06835770748873404,0.22159686764155723,-0.3084777696375459,0.7577837100747685,-0.5032112237456607,0.3664958087681926
ADL总分,-0.10995602880789762,0.0927978695577113,-1.184898202210511,0.2363420581412119,-0.29205914383746523,0.07214708622167001
IADL总分,0.06565244830321504,0.08951823597085104,0.7333974758460702,0.46348966671198466,-0.11001483479217841,0.2413197313986085
