变量,非患病组_Shapiro_p,患病组_Shapiro_p,是否双侧近似正态
HDL-C（高密度脂蛋白）,0.0003406195028219372,0.25347283482551575,False
LDL-C（低密度脂蛋白）,3.302345135125506e-07,0.8079990744590759,False
TG（甘油三酯）,0.004953272640705109,1.2441384728001381e-11,False
TC（总胆固醇）,0.0009780969703570008,8.027515894311506e-15,False
空腹血糖,0.8390370607376099,0.5380785465240479,True
血尿酸,0.00028782308800145984,3.7747736980036026e-21,False
BMI,0.6459014415740967,0.05210404098033905,True
ADL总分,0.6426064372062683,0.01185692846775055,False
IADL总分,0.021119801327586174,0.04169232398271561,False
痰湿质,7.370297150366412e-10,3.0020762573810464e-18,False
