模型,参数,系数,标准误,z值,p值,下限95CI,上限95CI
模型A_含直接血脂指标,C(age_group)[T.2],-22.60669757648504,309781.181908039,-7.2976342324099e-05,0.9999417733032074,-607182.566325584,607137.352930431
模型A_含直接血脂指标,C(age_group)[T.3],-64.69219911934445,349302.6044873566,-0.00018520388422035386,0.9998522286810246,-684685.2167003774,684555.8323021387
模型A_含直接血脂指标,C(age_group)[T.4],-44.15793680125585,295856.28845841903,-0.00014925468385797722,0.9998809119925643,-579911.8279149957,579823.5120413933
模型A_含直接血脂指标,C(age_group)[T.5],-18.639921687431247,123652.97329060281,-0.00015074382112611776,0.9998797238329425,-242374.0141525622,242336.73430918733
模型A_含直接血脂指标,"cr(hdl_c, knots=(1.218225, 1.4029), lower_bound=0.877855, upper_bound=1.718055)[0]",365.4667999623348,905239.3219326761,0.0004037239557624023,0.9996778748976216,-1773871.0015775424,1774601.935177467
模型A_含直接血脂指标,"cr(hdl_c, knots=(1.218225, 1.4029), lower_bound=0.877855, upper_bound=1.718055)[1]",115.34051879324373,298635.24628025683,0.0003862254045023253,0.9996918367204192,-585198.9867047593,585429.6677423457
模型A_含直接血脂指标,"cr(hdl_c, knots=(1.218225, 1.4029), lower_bound=0.877855, upper_bound=1.718055)[2]",155.90113761144494,289165.2561042998,0.0005391420107373222,0.9995698269343926,-566597.5864071172,566909.3886823402
模型A_含直接血脂指标,"cr(hdl_c, knots=(1.218225, 1.4029), lower_bound=0.877855, upper_bound=1.718055)[3]",63.54561902259836,348262.8353793921,0.00018246454277377245,0.9998544143592347,-682519.0688783877,682646.1601164328
模型A_含直接血脂指标,"cr(ldl_c, knots=(2.404, 2.84134), lower_bound=1.59238, upper_bound=3.594205)[0]",90.023516969698,140090.36546841127,0.0006426103370398962,0.9994872711687519,-274482.04738217004,274662.09441610944
模型A_含直接血脂指标,"cr(ldl_c, knots=(2.404, 2.84134), lower_bound=1.59238, upper_bound=3.594205)[1]",57.048275483205366,258355.34429908957,0.00022081322001670086,0.9998238165423593,-506310.1217641779,506424.2183151443
模型A_含直接血脂指标,"cr(ldl_c, knots=(2.404, 2.84134), lower_bound=1.59238, upper_bound=3.594205)[2]",54.21345574397194,173923.30255411132,0.00031170898291276957,0.9997512922190979,-340829.1956225774,340937.62253406533
模型A_含直接血脂指标,"cr(ldl_c, knots=(2.404, 2.84134), lower_bound=1.59238, upper_bound=3.594205)[3]",498.96882719269763,739098.1998844139,0.0006751049147065037,0.9994613442525504,-1448106.8839846444,1449104.8216390298
模型A_含直接血脂指标,"cr(tg, knots=(1.28712, 2.222725), lower_bound=0.57031, upper_bound=3.7214)[0]",-2.7418425716269663,250979.96850294806,-1.0924547436919293e-05,0.9999912834722665,-491914.440949347,491908.9572642037
模型A_含直接血脂指标,"cr(tg, knots=(1.28712, 2.222725), lower_bound=0.57031, upper_bound=3.7214)[1]",-3.001247961455249,398464.1956849953,-7.532039249588881e-06,0.9999939903021714,-780978.4739192727,780972.4714233498
模型A_含直接血脂指标,"cr(tg, knots=(1.28712, 2.222725), lower_bound=0.57031, upper_bound=3.7214)[2]",445.51455159975814,510787.8976686389,0.0008722104686371695,0.9993040768215412,-1000680.3686178632,1001571.3977210626
模型A_含直接血脂指标,"cr(tg, knots=(1.28712, 2.222725), lower_bound=0.57031, upper_bound=3.7214)[3]",260.4826143229292,703572.329472651,0.0003702286224334162,0.9997046003049415,-1378715.9436710218,1379236.908899668
模型A_含直接血脂指标,"cr(tc, knots=(4.897815, 6.837405), lower_bound=3.092535, upper_bound=8.684835)[0]",-1056.1717350934698,702646.657818097,-0.0015031335072071092,0.9988006734334025,-1378218.3149160028,1376105.9714458159
模型A_含直接血脂指标,"cr(tc, knots=(4.897815, 6.837405), lower_bound=3.092535, upper_bound=8.684835)[1]",-1074.124828492134,759017.2620435747,-0.0014151520422607583,0.9988708724111671,-1488720.622078099,1486572.372421115
模型A_含直接血脂指标,"cr(tc, knots=(4.897815, 6.837405), lower_bound=3.092535, upper_bound=8.684835)[2]",-402.9414968131015,378798.22618841735,-0.0010637364933506184,0.999151261235256,-742833.8222337682,742027.939240142
模型A_含直接血脂指标,"cr(tc, knots=(4.897815, 6.837405), lower_bound=3.092535, upper_bound=8.684835)[3]",3233.4921357883036,2168521.9842254953,0.0014911041526485473,0.9988102714589248,-4246991.4966295175,4253458.480901094
模型A_含直接血脂指标,"cr(uric_acid, knots=(280.3, 425), lower_bound=104.95, upper_bound=539.1)[0]",88.23934498013266,609063.8966962809,0.00014487699149262588,0.9998844048856769,-1193655.0624633546,1193831.5411533148
模型A_含直接血脂指标,"cr(uric_acid, knots=(280.3, 425), lower_bound=104.95, upper_bound=539.1)[1]",0.10350797163292214,285369.75972738274,3.6271527765171957e-07,0.99999971059508,-559314.3478345473,559314.5548504905
模型A_含直接血脂指标,"cr(uric_acid, knots=(280.3, 425), lower_bound=104.95, upper_bound=539.1)[2]",59.513621004457235,232548.22075139973,0.0002559194854820192,0.9997958057959542,-455726.623720609,455845.65096261795
模型A_含直接血脂指标,"cr(uric_acid, knots=(280.3, 425), lower_bound=104.95, upper_bound=539.1)[3]",552.3976014333426,1142579.5175243153,0.0004834653457032473,0.9996142504800076,-2238862.3062193757,2239967.101422243
模型A_含直接血脂指标,sex,-4.385549842400817,270340.4740024761,-1.6222320607311832e-05,0.9999870564608476,-529861.9781581823,529853.2070584976
模型A_含直接血脂指标,drinking,8.26094824980104,126798.81595226625,6.515004251231254e-05,0.9999480177869805,-248512.8516005149,248529.37349701452
