模型,参数,系数,OR,下限95CI,上限95CI,p值
模型A_含直接血脂指标,C(age_group)[T.2],0.2026219905960562,1.2246094668489436,0.45048538332605514,3.329005561120758,0.6912853890390387
模型A_含直接血脂指标,C(age_group)[T.3],-0.8898705859435768,0.4107089008180819,0.1530129550483325,1.1024020884892733,0.07732233296187646
模型A_含直接血脂指标,C(age_group)[T.4],0.5958969934975289,1.8146579515266694,0.62940239842146,5.231920770079308,0.27003111199371943
模型A_含直接血脂指标,C(age_group)[T.5],-0.28044066965602676,0.7554507638662958,0.25713850164941654,2.2194492577555422,0.6100340799453586
模型A_含直接血脂指标,hdl_c,-3.2662331296340605,0.03814986234046021,0.010358681176797968,0.1405016692526446,9.08820982677046e-07
模型A_含直接血脂指标,ldl_c,1.184009085418491,3.2674474554355935,1.7898273037491808,5.96494022170122,0.00011547100142953758
模型A_含直接血脂指标,tg,4.800878717757383,121.61723780588383,49.17894566412015,300.75375410750013,2.680934438531246e-25
模型A_含直接血脂指标,tc,1.7965473851076097,6.028796377583089,4.356396729980418,8.343222166205775,2.2831406278311895e-27
模型A_含直接血脂指标,uric_acid,0.006201136122264819,1.0062204029717317,1.0035858534181565,1.0088618685767101,3.5533504228688738e-06
模型A_含直接血脂指标,sex,-0.7816410039210646,0.4576543821251194,0.240315936520693,0.8715507448682657,0.01739391939878962
模型A_含直接血脂指标,drinking,-0.5109763114834931,0.5999095941811928,0.3230584129249697,1.1140137720983243,0.10564837926197027
